responseTime,sentenceIndex,Index,mousePositionX,mousePositionY,TrueAnswer,userName,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
1056,"NA",-1,108,180,"NA","Cristina","","","","","","",1743071613701,1743071680590,66889
1104,"NA",-1,104,139,"NA","Cristina","","","","","","","","",""
1154,"NA",-1,103,124,"NA","Cristina","","","","","","","","",""
1206,"NA",-1,103,123,"NA","Cristina","","","","","","","","",""
1256,"NA",-1,103,120,"NA","Cristina","","","","","","","","",""
1305,"NA",-1,103,109,"NA","Cristina","","","","","","","","",""
1354,"NA",-1,103,105,"NA","Cristina","","","","","","","","",""
1406,"NA",-1,107,100,"NA","Cristina","","","","","","","","",""
1456,"NA",-1,107,100,"NA","Cristina","","","","","","","","",""
1506,"NA",-1,107,100,"NA","Cristina","","","","","","","","",""
1556,"NA",-1,107,100,"NA","Cristina","","","","","","","","",""
1606,"NA",-1,107,100,"NA","Cristina","","","","","","","","",""
1656,"NA",-1,107,100,"NA","Cristina","","","","","","","","",""
1706,"NA",-1,107,100,"NA","Cristina","","","","","","","","",""
1754,"NA",-1,127,104,"NA","Cristina","","","","","","","","",""
1804,"83","0",149,112,"Nu","Cristina"," Romanii, ",92.26250457763672,132.66250610351562,117.0625057220459,211.60000610351562,"","","",""
1856,"83","0",168,115,"Nu","Cristina"," Romanii, ",92.26250457763672,132.66250610351562,117.0625057220459,211.60000610351562,"","","",""
1906,"83","0",182,116,"Nu","Cristina"," Romanii, ",92.26250457763672,132.66250610351562,117.0625057220459,211.60000610351562,"","","",""
1955,"83","0",195,116,"Nu","Cristina"," Romanii, ",92.26250457763672,132.66250610351562,117.0625057220459,211.60000610351562,"","","",""
2006,"83","1",212,113,"Nu","Cristina"," care ",92.26250457763672,211.60000610351562,117.0625057220459,252.25000762939453,"","","",""
2056,"83","1",228,108,"Nu","Cristina"," care ",92.26250457763672,211.60000610351562,117.0625057220459,252.25000762939453,"","","",""
2106,"83","1",244,106,"Nu","Cristina"," care ",92.26250457763672,211.60000610351562,117.0625057220459,252.25000762939453,"","","",""
2154,"83","2",267,104,"Nu","Cristina"," au ",92.26250457763672,252.25,117.0625057220459,278.1625003814697,"","","",""
2203,"83","3",296,102,"Nu","Cristina"," folosit ",92.26250457763672,278.1625061035156,117.0625057220459,335.2250061035156,"","","",""
2253,"83","3",326,100,"Nu","Cristina"," folosit ",92.26250457763672,278.1625061035156,117.0625057220459,335.2250061035156,"","","",""
2304,"83","4",352,101,"Nu","Cristina"," inițial ",92.26250457763672,335.2250061035156,117.0625057220459,386.2125053405762,"","","",""
2356,"83","4",381,101,"Nu","Cristina"," inițial ",92.26250457763672,335.2250061035156,117.0625057220459,386.2125053405762,"","","",""
2404,"83","5",411,99,"Nu","Cristina"," acest ",92.26250457763672,386.2124938964844,117.0625057220459,434.9124946594238,"","","",""
2455,"83","6",449,95,"Nu","Cristina"," stil, ",92.26250457763672,434.9125061035156,117.0625057220459,468.825008392334,"","","",""
2505,"83","7",476,95,"Nu","Cristina"," l-au ",92.26250457763672,468.82501220703125,117.0625057220459,505.1750144958496,"","","",""
2555,"83","7",494,99,"Nu","Cristina"," l-au ",92.26250457763672,468.82501220703125,117.0625057220459,505.1750144958496,"","","",""
2606,"83","7",494,99,"Nu","Cristina"," l-au ",92.26250457763672,468.82501220703125,117.0625057220459,505.1750144958496,"","","",""
2656,"83","7",494,99,"Nu","Cristina"," l-au ",92.26250457763672,468.82501220703125,117.0625057220459,505.1750144958496,"","","",""
2706,"83","7",494,99,"Nu","Cristina"," l-au ",92.26250457763672,468.82501220703125,117.0625057220459,505.1750144958496,"","","",""
2753,"83","7",494,99,"Nu","Cristina"," l-au ",92.26250457763672,468.82501220703125,117.0625057220459,505.1750144958496,"","","",""
2806,"83","7",494,99,"Nu","Cristina"," l-au ",92.26250457763672,468.82501220703125,117.0625057220459,505.1750144958496,"","","",""
2856,"83","7",494,99,"Nu","Cristina"," l-au ",92.26250457763672,468.82501220703125,117.0625057220459,505.1750144958496,"","","",""
2906,"83","8",523,105,"Nu","Cristina"," considerat ",92.26250457763672,505.1750183105469,117.0625057220459,598.6750183105469,"","","",""
2955,"83","8",554,105,"Nu","Cristina"," considerat ",92.26250457763672,505.1750183105469,117.0625057220459,598.6750183105469,"","","",""
3006,"83","9",604,105,"Nu","Cristina"," greoi ",92.26250457763672,598.6749877929688,117.0625057220459,647.1874885559082,"","","",""
3056,"83","10",650,109,"Nu","Cristina"," și ",92.26250457763672,647.1875,117.0625057220459,665.1375007629395,"","","",""
3106,"83","11",705,112,"Nu","Cristina"," greu ",92.26250457763672,665.1375122070312,117.0625057220459,709.2375144958496,"","","",""
3156,"83","13",767,112,"Nu","Cristina"," manevrat ",92.26250457763672,735.1500244140625,117.0625057220459,820.5000228881836,"","","",""
3206,"83","13",802,108,"Nu","Cristina"," manevrat ",92.26250457763672,735.1500244140625,117.0625057220459,820.5000228881836,"","","",""
3253,"83","13",782,109,"Nu","Cristina"," manevrat ",92.26250457763672,735.1500244140625,117.0625057220459,820.5000228881836,"","","",""
3304,"83","10",652,116,"Nu","Cristina"," și ",92.26250457763672,647.1875,117.0625057220459,665.1375007629395,"","","",""
3354,"83","8",520,111,"Nu","Cristina"," considerat ",92.26250457763672,505.1750183105469,117.0625057220459,598.6750183105469,"","","",""
3404,"83","5",433,113,"Nu","Cristina"," acest ",92.26250457763672,386.2124938964844,117.0625057220459,434.9124946594238,"","","",""
3453,"83","4",380,124,"Nu","Cristina"," inițial ",92.26250457763672,335.2250061035156,117.0625057220459,386.2125053405762,"","","",""
3503,"NA",-1,332,128,"NA","Cristina","","","","","","","","",""
3553,"83","18",289,134,"Nu","Cristina"," accidentat ",132.2624969482422,285.8374938964844,157.06249809265137,377.9874954223633,"","","",""
3604,"83","16",253,152,"Nu","Cristina"," muntos ",132.2624969482422,198.1125030517578,157.06249809265137,267.8875045776367,"","","",""
3653,"83","16",236,160,"Nu","Cristina"," muntos ",132.2624969482422,198.1125030517578,157.06249809265137,267.8875045776367,"","","",""
3706,"83","16",234,160,"Nu","Cristina"," muntos ",132.2624969482422,198.1125030517578,157.06249809265137,267.8875045776367,"","","",""
3754,"83","16",263,160,"Nu","Cristina"," muntos ",132.2624969482422,198.1125030517578,157.06249809265137,267.8875045776367,"","","",""
3805,"NA",-1,336,171,"NA","Cristina","","","","","","","","",""
6448,"","","","","","","","","","","","Nu","","",""
958,"NA",-1,124,166,"NA","Cristina","","","","","","","","",""
1007,"NA",-1,118,154,"NA","Cristina","","","","","","","","",""
1056,"NA",-1,119,149,"NA","Cristina","","","","","","","","",""
1107,"31","14",136,142,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
1157,"31","14",168,137,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
1207,"NA",-1,182,131,"NA","Cristina","","","","","","","","",""
1256,"31","1",197,124,"Da","Cristina"," multe ",92.26250457763672,156.875,117.0625057220459,210.8125,"","","",""
